service_id,date,exception_type
10801,20130124,1
10801,20130125,1
10801,20130126,1
10801,20130128,1
10801,20130129,1
10801,20130130,1
10801,20130131,1
10801,20130201,1
10801,20130202,1
10801,20130204,1
10801,20130205,1
10801,20130206,1
10801,20130207,1
10801,20130208,1
10802,20130112,2
10802,20130119,2
10798,20121103,2
10798,20121110,2
10422,20121101,2
10422,20121203,2
10422,20121204,2
10422,20121205,2
10422,20121206,2
10422,20121207,2
10432,20121101,2
10432,20121126,2
10432,20121127,2
10432,20121128,2
10432,20121129,2
10432,20121130,2
10432,20121203,2
10432,20121204,2
10432,20121205,2
10428,20121124,2
10428,20121125,2
10428,20121101,2
10428,20121102,2
10428,20121103,2
10428,20121104,2
10433,20121124,2
10433,20121101,2
10433,20121102,2
10433,20121103,2
10433,20121225,2
10433,20130101,2
10431,20121231,2
10431,20130101,2
10431,20121224,2
10431,20121225,2
10431,20121226,2
10431,20121227,2
10431,20121228,2
10431,20121229,2
10265,20121117,1
10280,20121101,2
10281,20121225,1
10281,20130101,1
10282,20121225,2
10282,20130101,2
10188,20121224,1
10188,20121225,1
10188,20121226,1
10188,20121227,1
10188,20121228,1
10188,20121231,1
10188,20130101,1
10197,20121224,1
10197,20121226,1
10197,20121227,1
10197,20121228,1
10197,20121231,1
10268,20130204,2
10268,20130205,2
10268,20130206,2
10268,20130207,2
10239,20130121,2
10239,20130122,2
10239,20130123,2
10239,20130124,2
10239,20130113,2
10239,20130114,2
10239,20130115,2
10239,20130116,2
10239,20130117,2
10239,20130120,2
10269,20121126,1
10269,20121127,1
10269,20121128,1
10269,20121129,1
10269,20121101,1
10269,20121203,1
10269,20121204,1
10269,20121205,1
10269,20121206,1
10269,20121116,2
10269,20121118,2
10269,20121104,2
10270,20121030,2
10270,20121031,2
10270,20121101,2
10270,20121117,2
10270,20121119,2
10270,20121120,2
10270,20121121,2
10270,20121122,2
10270,20121124,2
10270,20121106,2
10270,20121107,2
10270,20121108,2
10270,20121109,2
10270,20121110,2
10270,20121203,2
10271,20121126,1
10271,20121127,1
10271,20121128,1
10271,20121129,1
10271,20121101,1
10271,20121202,2
10271,20121116,2
10271,20121118,2
10271,20121104,2
10235,20121225,2
10235,20130101,2
10272,20121101,2
10272,20121203,2
10272,20121204,2
10272,20121205,2
10272,20121206,2
10272,20121207,2
10267,20121231,2
10267,20130101,2
10267,20121224,2
10267,20121225,2
10267,20121226,2
10267,20121227,2
10267,20121228,2
10267,20130204,2
10267,20130205,2
10267,20130206,2
10267,20130207,2
10254,20121225,2
10254,20130101,2
10255,20121101,1
10255,20121104,2
10228,20121123,1
10238,20130208,1
10241,20121126,1
10241,20121127,1
10241,20121128,1
10241,20121129,1
10241,20121130,1
10241,20121102,1
10241,20121203,1
10241,20121204,1
10241,20121205,1
10241,20121206,1
10241,20121207,1
10244,20121112,1
10244,20121126,1
10244,20121201,1
10244,20121103,1
10244,20121203,1
10244,20121208,1
10244,20121113,2
10244,20121114,2
10244,20121115,2
10244,20121116,2
10244,20121106,2
10244,20121107,2
10244,20121108,2
10244,20121109,2
10244,20121202,2
10244,20121204,2
10244,20121205,2
10244,20121206,2
10244,20121207,2
10243,20130114,2
10243,20130115,2
10243,20130116,2
10243,20130117,2
10243,20130118,2
10243,20130121,2
10243,20130122,2
10243,20130123,2
10243,20130124,2
10243,20130125,2
10240,20121126,1
10240,20121127,1
10240,20121128,1
10240,20121129,1
10240,20121130,1
10240,20121101,1
10240,20121102,1
10240,20121207,1
