service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10302,1,1,1,1,1,0,0,20121029,20121102
10303,1,1,1,1,0,0,1,20121112,20121122
10306,1,1,1,0,0,0,1,20121029,20121118
10307,1,1,1,1,0,0,0,20121116,20121122
10305,0,0,0,0,0,0,1,20121104,20121122
10314,1,1,1,1,1,0,1,20121029,20121118
10313,0,1,1,1,1,0,0,20121116,20121123
10315,1,1,1,1,1,1,1,20121029,20121208
10311,1,1,1,1,1,0,1,20121029,20121108
10310,1,1,1,1,0,0,0,20121122,20121122
10312,0,0,0,0,1,0,1,20121116,20121118
10309,1,1,1,0,0,0,1,20121029,20121111
10308,1,1,1,0,0,0,1,20121029,20121122
10316,1,1,1,0,0,0,1,20121029,20121108
10825,1,1,1,1,1,1,0,20121029,20121208
10823,1,1,1,1,1,1,1,20121029,20130208
10821,0,0,0,0,0,0,1,20121101,20121202
10826,0,0,0,0,0,1,1,20121101,20121208
10822,0,0,0,0,0,1,0,20121103,20130202
10824,1,1,1,1,1,1,0,20121029,20130208
10827,0,0,0,0,0,1,0,20121103,20121208
10794,0,0,0,0,0,1,0,20121117,20130202
10836,0,0,0,0,0,0,1,20121101,20130203
10796,0,0,0,0,0,1,0,20121117,20130202
10843,1,1,1,1,1,1,1,20121112,20121208
10838,0,0,0,0,0,1,1,20121101,20121208
10837,0,0,0,0,0,1,0,20121117,20121208
10840,1,0,0,0,0,0,0,20130114,20130121
10841,1,1,1,1,1,1,0,20121029,20121208
10839,0,0,0,0,0,1,1,20121101,20130203
10833,1,1,1,1,1,1,0,20121029,20130208
10832,0,0,0,0,0,1,1,20121101,20121118
10834,1,1,1,1,1,1,0,20121029,20121207
10199,0,0,0,0,0,0,1,20121101,20121118
10831,0,0,0,0,0,1,1,20121215,20130203
10785,0,0,0,0,0,0,1,20121216,20130203
10830,0,0,0,0,0,1,1,20121101,20121118
10816,0,0,0,0,0,0,1,20121101,20121202
10835,1,1,1,1,1,0,1,20121112,20121207
10803,0,0,0,0,0,0,1,20121104,20121111
10800,0,0,0,0,0,1,0,20121103,20121110
10696,0,0,0,0,0,0,1,20121016,20130208
10363,0,0,0,0,0,0,1,20121125,20121202
10669,1,1,1,1,1,0,0,20121203,20121207
10799,0,0,0,0,0,1,0,20121124,20121208
10797,1,1,1,1,1,1,0,20121029,20130208
10782,1,1,1,1,1,1,1,20121210,20130208
10851,1,1,1,1,1,0,0,20121119,20121209
10850,1,1,1,1,1,0,1,20121029,20121118
10781,0,0,0,0,0,1,0,20121103,20130202
10819,1,1,1,1,1,1,1,20121029,20130208
10849,1,1,1,1,1,0,1,20121029,20121202
10725,0,0,0,0,0,1,1,20121103,20121111
10846,1,1,1,1,1,0,0,20121029,20121207
10845,1,1,1,1,1,0,0,20121029,20121116
10847,1,1,1,1,1,0,0,20121126,20121207
10722,1,1,1,1,1,0,0,20121210,20130201
10253,0,1,1,1,1,0,0,20130205,20130208
10185,1,1,1,1,1,0,0,20130204,20130208
10844,1,1,1,1,1,0,1,20121029,20121207
10820,0,0,0,0,0,1,1,20121124,20121208
10683,0,0,0,0,0,1,0,20121215,20130126
10852,0,0,0,0,0,0,1,20121118,20130203
10853,1,1,1,1,1,0,1,20121029,20130208
10814,1,1,1,1,1,1,0,20121029,20130202
10813,1,1,1,1,1,1,1,20130203,20121029
10815,1,1,1,1,1,0,0,20121029,20130201
10793,1,1,1,1,1,1,1,20121112,20121208
10806,1,1,1,1,1,0,1,20121209,20130203
10192,1,1,1,1,1,1,1,20121209,20130203
10804,1,1,1,1,1,1,0,20121029,20121122
10805,1,1,1,1,1,0,1,20121029,20130203
10810,1,1,1,1,1,1,1,20121209,20130203
10809,1,1,1,1,1,1,1,20121101,20121208
10812,1,1,1,1,1,0,1,20130203,20121029
10811,1,1,1,1,1,0,0,20121210,20130125
10808,0,0,0,0,0,0,1,20121016,20130208
10790,0,0,0,0,0,0,1,20121101,20130203
10818,0,0,0,0,0,1,0,20121103,20121117
10817,1,1,1,1,1,1,0,20121029,20121118
10791,1,1,1,1,1,0,0,20130128,20130208
10789,1,1,1,1,1,0,0,20121119,20121209
10787,1,1,1,1,1,0,1,20121029,20130208
10795,0,0,0,0,0,1,1,20121101,20121208
10792,1,1,1,1,1,0,0,20121029,20130208
10780,1,1,1,1,1,1,1,20121029,20121118
10779,1,1,1,1,1,1,1,20121209,20130208
10784,0,0,0,0,0,0,1,20121119,20121209
10783,1,1,1,1,1,1,1,20121029,20121118
10802,0,0,0,0,0,1,0,20121215,20130202
10798,1,1,1,1,1,1,1,20121029,20130208
10427,0,0,0,0,1,1,1,20121102,20121104
10422,1,1,1,1,1,1,0,20121029,20121208
10425,0,0,0,0,0,1,1,20121103,20121104
10432,1,1,1,1,1,1,0,20121029,20121208
10429,0,0,0,1,1,1,1,20121101,20121104
10428,1,1,1,1,1,1,1,20121029,20130208
10433,1,1,1,1,1,1,0,20121029,20130208
10431,1,1,1,1,1,1,0,20121210,20130208
10265,1,1,1,1,0,0,0,20121117,20121122
10280,1,1,1,1,1,0,0,20121029,20121221
10277,1,1,1,1,1,0,1,20121029,20121207
10273,1,1,1,1,1,1,1,20121221,20130208
10274,1,1,1,1,1,1,1,20121029,20121220
10281,0,0,0,0,0,0,1,20121223,20130203
10282,1,1,1,1,1,0,0,20121224,20130208
10278,0,0,0,0,0,0,1,20121209,20121216
10188,0,0,0,0,0,1,1,20121209,20130203
10197,0,0,0,0,0,1,0,20121215,20130202
10268,1,1,1,1,1,1,1,20121209,20130208
10239,1,1,1,1,1,1,1,20121209,20130208
10269,0,0,0,0,1,1,1,20121101,20121208
10270,1,1,1,1,1,1,1,20121029,20121208
10271,0,0,0,0,1,1,1,20121101,20121208
10235,1,1,1,1,1,1,0,20121210,20130202
10272,1,1,1,1,1,1,0,20121029,20121208
10267,1,1,1,1,1,0,0,20121210,20130208
10254,1,1,1,1,1,0,0,20121210,20130204
10252,1,1,1,1,1,1,1,20121221,20130204
10255,0,0,0,0,0,0,1,20121101,20121202
10259,1,1,1,1,1,1,1,20121029,20130204
10260,1,1,1,1,1,1,1,20121029,20121220
10256,1,1,1,1,1,1,1,20121029,20121208
10257,1,1,1,1,1,1,1,20121209,20121220
10227,1,1,1,0,0,0,0,20121029,20121031
10229,0,0,0,0,0,0,0,20121016,20130208
10228,0,0,0,0,1,0,0,20121016,20130208
10224,0,0,0,0,1,0,0,20121116,20121123
10226,0,0,0,0,0,0,0,20121016,20130208
10238,0,0,0,0,1,0,0,20121016,20130208
10241,0,0,0,0,0,1,0,20121102,20121208
10244,0,1,1,1,1,0,1,20121102,20121208
10243,1,1,1,1,1,1,1,20121209,20130208
10240,0,0,0,0,0,1,1,20121101,20121208
10237,0,0,0,0,0,1,0,20121102,20121208
10250,0,0,0,0,0,1,1,20121102,20121215
10251,1,1,1,1,1,1,1,20121216,20130208
10248,0,0,0,0,0,1,0,20121102,20121208
10479,0,0,0,0,0,0,1,20121101,20130203
10481,0,0,0,0,0,0,1,20121111,20121202
10462,0,0,0,0,0,1,1,20121101,20121208
10524,0,1,1,1,1,1,1,20121209,20130208
10525,0,1,1,1,1,0,0,20121030,20121207
10528,0,0,0,0,0,0,0,20121030,20121204
10526,1,0,1,1,1,1,1,20121209,20130208
10530,0,0,0,0,0,1,1,20121101,20121208
10523,0,1,0,0,0,0,0,20121211,20130205
10520,1,0,0,0,0,0,0,20121210,20130204
10521,1,0,0,0,0,0,0,20121029,20121203
10513,1,0,0,0,0,0,1,20121209,20130204
10512,1,0,0,0,0,0,1,20121029,20121203
10518,1,1,1,1,1,0,0,20121029,20121207
10510,0,0,0,0,0,0,0,20121031,20121208
10469,1,1,1,1,1,1,1,20121101,20121208
10470,1,1,1,1,1,1,1,20121029,20121208
10476,1,1,1,1,1,1,1,20121029,20121208
10475,1,1,1,1,1,1,1,20121029,20121208
10474,1,1,1,1,1,1,0,20121102,20121118
10473,1,1,1,1,1,1,1,20121101,20121208
10472,0,1,1,0,0,0,0,20121030,20121031
10464,1,1,1,1,1,1,1,20121105,20121118
10466,1,1,1,1,1,1,1,20121029,20121208
10461,0,1,1,1,0,1,0,20121030,20121103
10456,1,1,1,1,1,1,1,20121105,20121118
10454,1,1,1,1,1,1,1,20121101,20121208
10455,1,1,1,1,1,1,1,20121105,20121118
10477,0,1,1,1,1,1,0,20121029,20121208
10484,1,1,1,1,1,0,0,20121029,20130208
10213,0,0,0,0,1,1,1,20121103,20121208
10209,1,1,1,1,1,1,1,20121029,20121208
