stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8768185,"VILLENEUVE PRAIRIE",,48.76471696,2.43342364,,,1,
StopArea:DUA8768115,"MAISONS ALFORT ALFORTVILLE",,48.80115996,2.42734813,,,1,
StopArea:DUA8768603,"PARIS GARE DE LYON",,48.84463379,2.37321677,,,1,
StopArea:DUA8768136,"EVRY - Val de Seine",,48.63394661,2.45193915,,,1,
StopArea:DUA8768135,"GRAND BOURG",,48.64631831,2.43326145,,,1,
StopArea:DUA8768133,"RIS ORANGIS",,48.65883349,2.41527853,,,1,
StopArea:DUA8768131,"VIRY CHATILLON",,48.67602098,2.38577447,,,1,
StopArea:DUA8754524,"JUVISY",,48.68991794,2.38198697,,,1,
StopArea:DUA8768130,"VIGNEUX SUR SEINE",,48.70833541,2.4151023,,,1,
StopArea:DUA8768124,"LE VERT DE MAISONS",,48.78961787,2.43361891,,,1,
StopArea:DUA8768254,"SAINT-FARGEAU",,48.56456764,2.54254014,,,1,
StopArea:DUA8768252,"PONTHIERRY PRINGY",,48.53497077,2.5443813,,,1,
StopArea:DUA8768251,"BOISSISE LE ROI",,48.52938343,2.57241214,,,1,
StopArea:DUA8768250,"VOSVES",,48.51515179,2.5992891,,,1,
StopArea:DUA8711340,"BONDY",,48.8945369,2.47844611,,,1,
StopArea:DUA8727649,"MONTSOULT MAFFLIERS",,49.06638261,2.3223908,,,1,
StopArea:DUA8727648,"BOUFFEMONT MOISSELLES",,49.04511123,2.32260065,,,1,
StopArea:DUA8727643,"DOMONT",,49.03264155,2.33799935,,,1,
StopArea:DUA8727639,"ECOUEN EZANVILLE",,49.02308271,2.36350826,,,1,
StopArea:DUA8727638,"SARCELLES SAINT-BRICE",,48.99501118,2.36822274,,,1,
StopArea:DUA8727636,"GROSLAY",,48.98485776,2.35281531,,,1,
StopArea:DUA8727634,"DEUIL MONTMAGNY",,48.97567351,2.33816107,,,1,
StopArea:DUA8727112,"EPINAY VILLETANEUSE",,48.95868492,2.32844203,,,1,
StopArea:DUA8727650,"PRESLES COURCELLES",,49.11405793,2.28789549,,,1,
StopArea:DUA8727675,"NOINTEL MOURS",,49.13220335,2.28098288,,,1,
StopArea:DUA8727646,"PERSAN BEAUMONT",,49.14804367,2.28019443,,,1,
StopArea:DUA8727605,"ERMONT EAUBONNE",,48.98028275,2.27086885,,,1,
StopArea:DUA8727603,"CHAMP DE COURSES D'ENGHIEN",,48.98008766,2.29227546,,,1,
StopArea:DUA8727602,"ENGHIEN LES BAINS",,48.97258704,2.30727783,,,1,
StopArea:DUA8727117,"LA BARRE ORMESSON",,48.96682431,2.31705405,,,1,
StopArea:DUA8727658,"ERMONT HALTE",,48.99064752,2.26316384,,,1,
StopArea:DUA8727659,"GROS NOYER SAINT-PRIX",,48.99609508,2.25963683,,,1,
StopArea:DUA8727660,"SAINT-LEU LA FORET",,49.01557006,2.2422045,,,1,
StopArea:DUA8727662,"VAUCELLES",,49.02176997,2.22935771,,,1,
StopArea:DUA8727663,"TAVERNY",,49.02535239,2.22178541,,,1,
StopArea:DUA8727664,"BESSANCOURT",,49.03595367,2.21120976,,,1,
StopArea:DUA8727665,"FREPILLON",,49.04676799,2.20016919,,,1,
StopArea:DUA8727666,"MERY sur OISE",,49.05748448,2.19059421,,,1,
StopArea:DUA8727667,"MERIEL",,49.07737726,2.20505636,,,1,
StopArea:DUA8727653,"VALMONDOIS",,49.09106916,2.20180437,,,1,
StopArea:DUA8727652,"L'ISLE ADAM PARMAIN",,49.11477965,2.21000054,,,1,
StopArea:DUA8727651,"CHAMPAGNE SUR OISE",,49.13666232,2.24440921,,,1,
StopArea:DUA8727158,"ORMOY VILLERS",,49.20087477,2.83808446,,,1,
StopArea:DUA8727155,"LE PLESSIS BELLEVILLE",,49.09611842,2.74466305,,,1,
StopArea:DUA8727153,"DAMMARTIN JUILLY SAINT-MARD",,49.03232535,2.69912845,,,1,
StopArea:DUA8727152,"MITRY CLAYE",,48.975816,2.64290693,,,1,
StopArea:DUA8738657,"POISSY",,48.93310342,2.04068632,,,1,
StopArea:DUA8738642,"MAISONS LAFFITTE",,48.94562053,2.14435101,,,1,
StopArea:DUA8738641,"SARTROUVILLE",,48.93772263,2.15763525,,,1,
StopArea:DUA8738676,"EPONE MEZIERES",,48.96288181,1.80871613,,,1,
StopArea:DUA8738673,"AUBERGENVILLE ELISABETHVILLE",,48.97216682,1.84814063,,,1,
StopArea:DUA8738666,"LES CLAIRIERES DE VERNEUIL",,48.99229553,1.95536378,,,1,
StopArea:DUA8738665,"VERNOUILLET VERNEUIL",,48.98087277,1.98193149,,,1,
